Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-10048,2023-03-06,Customer 276,Home Office,USA,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Binders Model 852,943.89,5,0.3,107.0
ORD-10049,2023-11-27,Customer 208,Home Office,USA,Seattle,Washington,West,Furniture,Tables,Tables Model 269,447.12,1,0.3,-7.14
ORD-10050,2023-03-15,Customer 70,Corporate,USA,Miami,Florida,South,Technology,Machines,Machines Model 286,46.43,7,0.0,3.3
ORD-10051,2023-01-24,Customer 143,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Paper Model 358,227.43,6,0.2,31.91
ORD-10052,2023-10-30,Customer 21,Consumer,USA,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Bookcases Model 353,548.63,6,0.1,89.17
ORD-10053,2022-08-12,Customer 239,Home Office,USA,Los Angeles,California,West,Technology,Phones,Phones Model 362,253.77,8,0.0,48.47
ORD-10054,2022-04-21,Customer 297,Consumer,USA,Houston,Texas,Central,Technology,Machines,Machines Model 419,964.46,2,0.1,232.61
ORD-10055,2022-11-05,Customer 62,Home Office,USA,Atlanta,Georgia,South,Technology,Phones,Phones Model 901,94.48,4,0.0,21.19
ORD-10056,2023-03-07,Customer 251,Consumer,USA,Philadelphia,Pennsylvania,East,Technology,Accessories,Accessories Model 543,668.29,2,0.2,-31.3
ORD-10057,2023-07-06,Customer 248,Corporate,USA,Chicago,Illinois,Central,Technology,Phones,Phones Model 546,446.78,9,0.2,46.46
ORD-10058,2023-08-07,Customer 195,Corporate,USA,Chicago,Illinois,Central,Furniture,Chairs,Chairs Model 129,293.35,8,0.1,55.04
ORD-10059,2023-09-03,Customer 142,Home Office,USA,Atlanta,Georgia,South,Furniture,Tables,Tables Model 110,227.88,5,0.2,4.54
ORD-10060,2023-10-24,Customer 252,Corporate,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 911,418.3,9,0.1,72.22
ORD-10061,2023-01-13,Customer 243,Home Office,USA,New York,New York,East,Office Supplies,Binders,Binders Model 643,416.31,4,0.2,48.29
ORD-10062,2022-08-25,Customer 62,Home Office,USA,Chicago,Illinois,Central,Technology,Machines,Machines Model 297,344.18,8,0.2,9.17
ORD-10063,2023-05-11,Customer 142,Home Office,USA,Houston,Texas,Central,Technology,Machines,Machines Model 703,951.86,3,0.1,51.49
ORD-10064,2023-07-01,Customer 65,Corporate,USA,Houston,Texas,Central,Furniture,Tables,Tables Model 146,242.93,3,0.2,-11.29
ORD-10065,2023-08-11,Customer 146,Corporate,USA,Philadelphia,Pennsylvania,East,Technology,Phones,Phones Model 590,645.11,8,0.0,173.01
ORD-10066,2023-02-15,Customer 252,Consumer,USA,Atlanta,Georgia,South,Furniture,Chairs,Chairs Model 690,267.43,8,0.0,68.34
ORD-10067,2023-03-03,Customer 116,Home Office,USA,New York,New York,East,Furniture,Bookcases,Bookcases Model 489,950.14,2,0.1,28.14
ORD-10068,2022-04-12,Customer 107,Home Office,USA,Atlanta,Georgia,South,Office Supplies,Storage,Storage Model 316,990.23,5,0.0,200.43
ORD-10069,2023-04-07,Customer 241,Corporate,USA,Houston,Texas,Central,Furniture,Chairs,Chairs Model 133,190.34,2,0.1,0.13
ORD-10070,2022-09-28,Customer 102,Corporate,USA,Seattle,Washington,West,Technology,Accessories,Accessories Model 217,708.93,8,0.0,157.27
ORD-10071,2023-08-06,Customer 148,Corporate,USA,Los Angeles,California,West,Office Supplies,Binders,Binders Model 227,89.98,3,0.2,8.89
ORD-10072,2023-09-05,Customer 21,Corporate,USA,Atlanta,Georgia,South,Technology,Accessories,Accessories Model 852,943.82,9,0.3,8.91
ORD-10073,2023-11-20,Customer 138,Home Office,USA,Chicago,Illinois,Central,Furniture,Chairs,Chairs Model 141,244.35,10,0.0,73.28
ORD-10074,2023-03-23,Customer 252,Consumer,USA,Seattle,Washington,West,Technology,Machines,Machines Model 581,453.38,5,0.1,113.0
ORD-10075,2023-05-23,Customer 148,Home Office,USA,Chicago,Illinois,Central,Office Supplies,Paper,Paper Model 510,676.73,3,0.2,35.81
ORD-10076,2022-01-02,Customer 278,Corporate,USA,Philadelphia,Pennsylvania,East,Furniture,Tables,Tables Model 523,267.35,2,0.3,31.07
ORD-10077,2022-07-28,Customer 137,Home Office,USA,New York,New York,East,Technology,Accessories,Accessories Model 234,630.18,8,0.3,56.71
ORD-10078,2022-11-15,Customer 283,Consumer,USA,Chicago,Illinois,Central,Technology,Accessories,Accessories Model 665,139.0,10,0.1,24.66
ORD-10079,2022-10-26,Customer 261,Home Office,USA,Miami,Florida,South,Furniture,Chairs,Chairs Model 379,472.22,2,0.1,58.84
ORD-10080,2023-09-06,Customer 261,Home Office,USA,Atlanta,Georgia,South,Office Supplies,Binders,Binders Model 239,467.65,3,0.3,-24.48
ORD-10081,2022-10-17,Customer 153,Home Office,USA,Philadelphia,Pennsylvania,East,Office Supplies,Paper,Paper Model 693,935.56,9,0.2,145.14
ORD-10082,2022-11-26,Customer 97,Home Office,USA,Miami,Florida,South,Office Supplies,Storage,Storage Model 344,494.65,6,0.3,6.84
ORD-10083,2023-11-11,Customer 78,Corporate,USA,Miami,Florida,South,Office Supplies,Binders,Binders Model 137,331.81,8,0.3,-1.15
ORD-10084,2023-02-24,Customer 80,Consumer,USA,Seattle,Washington,West,Furniture,Tables,Tables Model 580,117.72,8,0.0,27.15
ORD-10085,2023-07-01,Customer 195,Corporate,USA,Chicago,Illinois,Central,Technology,Machines,Machines Model 741,409.53,2,0.2,66.79
ORD-10086,2023-03-21,Customer 51,Home Office,USA,Miami,Florida,South,Technology,Phones,Phones Model 820,250.07,5,0.1,46.69
ORD-10087,2022-02-27,Customer 151,Corporate,USA,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Bookcases Model 483,313.48,1,0.0,41.1
ORD-10088,2023-09-17,Customer 196,Home Office,USA,Miami,Florida,South,Furniture,Bookcases,Bookcases Model 799,423.81,3,0.1,18.55
ORD-10089,2022-01-10,Customer 239,Corporate,USA,Seattle,Washington,West,Technology,Phones,Phones Model 793,247.54,5,0.3,-8.95
ORD-10090,2023-04-13,Customer 155,Consumer,USA,Los Angeles,California,West,Office Supplies,Paper,Paper Model 493,987.9,5,0.3,71.7
ORD-10091,2022-10-30,Customer 12,Home Office,USA,Miami,Florida,South,Furniture,Tables,Tables Model 505,580.48,10,0.2,115.04
ORD-10092,2022-10-21,Customer 118,Home Office,USA,Houston,Texas,Central,Technology,Machines,Machines Model 921,782.75,1,0.3,84.7
ORD-10093,2023-10-24,Customer 21,Corporate,USA,Houston,Texas,Central,Technology,Phones,Phones Model 907,628.47,3,0.0,173.36
ORD-10094,2023-03-02,Customer 90,Consumer,USA,Miami,Florida,South,Technology,Accessories,Accessories Model 235,737.71,2,0.2,23.37
ORD-10095,2022-12-13,Customer 59,Corporate,USA,Chicago,Illinois,Central,Furniture,Tables,Tables Model 177,915.77,8,0.2,125.13
ORD-10096,2023-02-09,Customer 8,Corporate,USA,Los Angeles,California,West,Technology,Machines,Machines Model 649,680.92,7,0.2,-18.67
ORD-10097,2023-01-16,Customer 56,Home Office,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 339,754.03,5,0.3,79.63
ORD-10098,2023-10-13,Customer 238,Home Office,USA,Miami,Florida,South,Technology,Machines,Machines Model 409,341.45,10,0.1,55.29
ORD-10099,2022-08-29,Customer 276,Consumer,USA,Miami,Florida,South,Furniture,Chairs,Chairs Model 497,947.34,5,0.3,-67.23
ORD-10100,2022-06-08,Customer 213,Home Office,USA,Atlanta,Georgia,South,Technology,Machines,Machines Model 201,702.55,9,0.3,32.9
ORD-10101,2022-08-30,Customer 186,Consumer,USA,Atlanta,Georgia,South,Office Supplies,Binders,Binders Model 802,696.48,4,0.3,7.78
ORD-10102,2022-08-06,Customer 11,Consumer,USA,Chicago,Illinois,Central,Furniture,Tables,Tables Model 905,290.36,2,0.3,-22.38
ORD-10103,2022-08-27,Customer 169,Consumer,USA,Houston,Texas,Central,Furniture,Bookcases,Bookcases Model 907,221.1,9,0.1,32.41
ORD-10104,2022-01-27,Customer 68,Consumer,USA,Philadelphia,Pennsylvania,East,Furniture,Chairs,Chairs Model 466,549.41,3,0.0,118.27
ORD-10105,2022-03-07,Customer 244,Corporate,USA,Seattle,Washington,West,Furniture,Chairs,Chairs Model 896,280.06,3,0.3,8.83
ORD-10106,2023-11-06,Customer 267,Corporate,USA,Houston,Texas,Central,Office Supplies,Storage,Storage Model 569,237.12,10,0.0,54.97
ORD-10107,2023-03-31,Customer 38,Consumer,USA,New York,New York,East,Office Supplies,Paper,Paper Model 429,437.75,2,0.3,34.19
ORD-10108,2023-09-04,Customer 272,Corporate,USA,Los Angeles,California,West,Furniture,Tables,Tables Model 564,631.83,10,0.2,28.58
ORD-10109,2022-08-22,Customer 212,Corporate,USA,Miami,Florida,South,Technology,Phones,Phones Model 947,855.74,9,0.1,92.01
ORD-10110,2023-01-19,Customer 79,Home Office,USA,Atlanta,Georgia,South,Office Supplies,Storage,Storage Model 585,113.18,7,0.2,13.16
ORD-10111,2023-08-24,Customer 288,Home Office,USA,New York,New York,East,Furniture,Chairs,Chairs Model 437,443.24,6,0.1,61.65
ORD-10112,2023-09-07,Customer 160,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 206,942.31,7,0.0,275.25
ORD-10113,2023-01-12,Customer 59,Corporate,USA,Los Angeles,California,West,Technology,Accessories,Accessories Model 687,239.76,2,0.2,38.68
ORD-10114,2023-11-05,Customer 137,Consumer,USA,Seattle,Washington,West,Technology,Machines,Machines Model 284,621.3,9,0.0,125.66
ORD-10115,2023-10-11,Customer 16,Consumer,USA,Chicago,Illinois,Central,Office Supplies,Paper,Paper Model 864,25.98,3,0.3,-2.15
ORD-10116,2023-08-05,Customer 44,Consumer,USA,Seattle,Washington,West,Office Supplies,Paper,Paper Model 259,354.08,6,0.2,46.17
ORD-10117,2023-03-01,Customer 140,Consumer,USA,Los Angeles,California,West,Technology,Phones,Phones Model 873,286.66,7,0.3,14.84
ORD-10118,2022-11-12,Customer 24,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Binders Model 504,297.58,10,0.3,9.44
ORD-10119,2022-05-03,Customer 4,Corporate,USA,New York,New York,East,Furniture,Tables,Tables Model 864,946.42,3,0.2,21.16
ORD-10120,2022-02-13,Customer 224,Consumer,USA,Miami,Florida,South,Furniture,Tables,Tables Model 570,541.93,4,0.2,-17.33
ORD-10121,2022-01-22,Customer 167,Consumer,USA,Philadelphia,Pennsylvania,East,Technology,Accessories,Accessories Model 920,581.93,7,0.2,-12.34
ORD-10122,2023-06-21,Customer 41,Corporate,USA,Atlanta,Georgia,South,Furniture,Tables,Tables Model 991,847.59,4,0.3,40.02
ORD-10123,2022-07-18,Customer 179,Corporate,USA,Chicago,Illinois,Central,Furniture,Tables,Tables Model 844,783.54,2,0.0,143.11
ORD-10124,2023-11-03,Customer 39,Consumer,USA,Los Angeles,California,West,Furniture,Chairs,Chairs Model 891,270.85,3,0.1,51.48
ORD-10125,2023-10-05,Customer 162,Consumer,USA,Atlanta,Georgia,South,Technology,Machines,Machines Model 550,459.93,10,0.2,76.38
ORD-10126,2022-03-17,Customer 159,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 562,316.76,5,0.0,43.71
ORD-10127,2023-07-22,Customer 22,Corporate,USA,New York,New York,East,Office Supplies,Paper,Paper Model 929,95.2,2,0.3,1.49
ORD-10128,2022-12-18,Customer 44,Home Office,USA,Seattle,Washington,West,Technology,Accessories,Accessories Model 761,511.34,1,0.3,-37.9
ORD-10129,2022-10-17,Customer 199,Corporate,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 893,449.0,8,0.1,40.85
ORD-10130,2023-01-31,Customer 146,Corporate,USA,Houston,Texas,Central,Technology,Machines,Machines Model 841,347.96,6,0.0,65.94
ORD-10131,2023-12-17,Customer 201,Consumer,USA,Seattle,Washington,West,Furniture,Bookcases,Bookcases Model 709,670.34,6,0.2,128.65
ORD-10132,2023-12-03,Customer 270,Consumer,USA,Philadelphia,Pennsylvania,East,Technology,Accessories,Accessories Model 761,650.62,6,0.1,109.0
ORD-10133,2023-05-13,Customer 99,Consumer,USA,Atlanta,Georgia,South,Furniture,Tables,Tables Model 240,322.69,4,0.2,60.32
ORD-10134,2023-09-25,Customer 68,Home Office,USA,Los Angeles,California,West,Office Supplies,Binders,Binders Model 485,517.54,9,0.0,111.52
ORD-10135,2023-01-09,Customer 122,Corporate,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 725,775.68,3,0.3,-69.1
ORD-10136,2023-08-08,Customer 226,Corporate,USA,Chicago,Illinois,Central,Furniture,Bookcases,Bookcases Model 887,254.39,8,0.1,23.39
ORD-10137,2022-05-22,Customer 129,Consumer,USA,Chicago,Illinois,Central,Technology,Machines,Machines Model 756,430.29,3,0.1,86.19
ORD-10138,2022-06-14,Customer 140,Corporate,USA,Atlanta,Georgia,South,Technology,Phones,Phones Model 625,717.17,9,0.0,86.97
ORD-10139,2023-02-10,Customer 258,Corporate,USA,Seattle,Washington,West,Furniture,Chairs,Chairs Model 341,820.37,6,0.0,126.11
ORD-10140,2022-05-21,Customer 20,Corporate,USA,Miami,Florida,South,Office Supplies,Binders,Binders Model 949,47.62,2,0.2,7.04
ORD-10141,2022-08-09,Customer 77,Home Office,USA,Miami,Florida,South,Technology,Accessories,Accessories Model 844,459.63,1,0.0,25.17
ORD-10142,2023-09-30,Customer 235,Consumer,USA,Miami,Florida,South,Office Supplies,Binders,Binders Model 213,315.13,1,0.1,33.07
ORD-10143,2023-09-22,Customer 181,Consumer,USA,Miami,Florida,South,Technology,Machines,Machines Model 684,583.55,3,0.2,33.44
ORD-10144,2023-07-12,Customer 260,Home Office,USA,Miami,Florida,South,Technology,Machines,Machines Model 667,103.9,6,0.0,29.96
ORD-10145,2023-01-01,Customer 35,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Binders Model 346,642.96,6,0.2,87.98
ORD-10146,2023-12-03,Customer 238,Home Office,USA,Philadelphia,Pennsylvania,East,Furniture,Chairs,Chairs Model 590,365.25,6,0.1,75.82
ORD-10147,2022-02-14,Customer 103,Consumer,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 423,780.67,8,0.0,96.3
ORD-10148,2022-02-18,Customer 170,Corporate,USA,Chicago,Illinois,Central,Technology,Accessories,Accessories Model 227,268.25,4,0.2,10.53
ORD-10149,2023-05-24,Customer 255,Corporate,USA,Chicago,Illinois,Central,Office Supplies,Storage,Storage Model 916,450.94,7,0.2,87.23
ORD-10150,2022-11-25,Customer 53,Consumer,USA,Houston,Texas,Central,Technology,Accessories,Accessories Model 435,97.35,10,0.1,13.28
ORD-10151,2022-02-13,Customer 181,Home Office,USA,Chicago,Illinois,Central,Office Supplies,Storage,Storage Model 545,723.31,3,0.3,-8.76
ORD-10152,2022-05-27,Customer 225,Consumer,USA,Houston,Texas,Central,Furniture,Bookcases,Bookcases Model 229,644.76,6,0.1,153.58
ORD-10153,2023-11-27,Customer 231,Corporate,USA,New York,New York,East,Technology,Accessories,Accessories Model 480,374.91,10,0.0,75.46
ORD-10154,2022-09-13,Customer 59,Consumer,USA,Miami,Florida,South,Technology,Phones,Phones Model 853,538.87,7,0.2,60.56
ORD-10155,2023-12-22,Customer 229,Consumer,USA,Seattle,Washington,West,Technology,Accessories,Accessories Model 726,915.27,2,0.2,131.56
ORD-10156,2024-01-01,Customer 228,Consumer,USA,Chicago,Illinois,Central,Furniture,Chairs,Chairs Model 929,153.01,2,0.3,-8.7
ORD-10157,2023-12-30,Customer 90,Corporate,USA,Chicago,Illinois,Central,Technology,Phones,Phones Model 620,559.0,5,0.2,91.03
ORD-10158,2023-08-10,Customer 189,Corporate,USA,Los Angeles,California,West,Furniture,Chairs,Chairs Model 922,252.0,8,0.0,35.34
ORD-10159,2023-08-12,Customer 38,Consumer,USA,Los Angeles,California,West,Furniture,Tables,Tables Model 424,410.2,8,0.3,37.86
ORD-10160,2022-05-13,Customer 222,Home Office,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 989,527.01,3,0.1,101.16
ORD-10161,2022-08-19,Customer 178,Home Office,USA,New York,New York,East,Technology,Phones,Phones Model 390,318.04,3,0.2,58.42
ORD-10162,2023-09-22,Customer 274,Consumer,USA,Philadelphia,Pennsylvania,East,Furniture,Bookcases,Bookcases Model 614,957.22,5,0.1,149.57
ORD-10163,2023-08-01,Customer 22,Consumer,USA,Los Angeles,California,West,Furniture,Bookcases,Bookcases Model 183,631.99,10,0.2,101.52
ORD-10164,2023-10-05,Customer 280,Corporate,USA,Philadelphia,Pennsylvania,East,Technology,Phones,Phones Model 757,771.62,7,0.0,134.66
ORD-10165,2022-06-11,Customer 226,Corporate,USA,Chicago,Illinois,Central,Furniture,Bookcases,Bookcases Model 595,417.97,8,0.0,92.85
ORD-10166,2022-05-14,Customer 190,Home Office,USA,Miami,Florida,South,Office Supplies,Storage,Storage Model 675,160.8,6,0.2,31.17
ORD-10167,2022-02-21,Customer 149,Corporate,USA,Philadelphia,Pennsylvania,East,Furniture,Tables,Tables Model 984,140.07,8,0.1,4.93
ORD-10168,2023-05-26,Customer 264,Corporate,USA,Miami,Florida,South,Furniture,Tables,Tables Model 610,935.08,6,0.1,178.39
ORD-10169,2022-08-09,Customer 299,Corporate,USA,Chicago,Illinois,Central,Furniture,Chairs,Chairs Model 149,946.33,9,0.3,134.07
ORD-10170,2022-04-21,Customer 221,Consumer,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 370,884.69,8,0.2,74.47
ORD-10171,2022-10-23,Customer 38,Corporate,USA,Chicago,Illinois,Central,Office Supplies,Binders,Binders Model 616,412.57,10,0.1,37.39
ORD-10172,2022-12-14,Customer 286,Corporate,USA,Atlanta,Georgia,South,Technology,Machines,Machines Model 873,618.82,3,0.0,91.88
ORD-10173,2024-01-01,Customer 171,Corporate,USA,Los Angeles,California,West,Technology,Machines,Machines Model 631,413.36,1,0.0,24.69
ORD-10174,2023-09-24,Customer 154,Home Office,USA,Miami,Florida,South,Technology,Machines,Machines Model 444,156.99,10,0.2,-1.47
ORD-10175,2023-12-06,Customer 14,Home Office,USA,Atlanta,Georgia,South,Office Supplies,Binders,Binders Model 585,380.99,2,0.3,17.5
ORD-10176,2023-11-29,Customer 125,Consumer,USA,Houston,Texas,Central,Technology,Phones,Phones Model 686,591.85,3,0.3,-37.32
ORD-10177,2023-02-25,Customer 257,Home Office,USA,New York,New York,East,Furniture,Tables,Tables Model 582,327.42,3,0.3,23.78
ORD-10178,2022-06-27,Customer 236,Home Office,USA,New York,New York,East,Technology,Phones,Phones Model 450,569.67,8,0.3,-12.28
ORD-10179,2022-08-19,Customer 153,Corporate,USA,Chicago,Illinois,Central,Technology,Accessories,Accessories Model 821,208.42,4,0.2,18.66
ORD-10180,2023-11-24,Customer 279,Corporate,USA,Seattle,Washington,West,Office Supplies,Paper,Paper Model 504,361.83,5,0.2,-7.07
ORD-10181,2023-11-03,Customer 132,Home Office,USA,Houston,Texas,Central,Office Supplies,Binders,Binders Model 590,301.88,2,0.2,54.64
ORD-10182,2023-08-24,Customer 123,Consumer,USA,Los Angeles,California,West,Technology,Accessories,Accessories Model 151,934.36,5,0.1,25.51
ORD-10183,2022-05-21,Customer 3,Home Office,USA,Los Angeles,California,West,Furniture,Chairs,Chairs Model 261,425.04,8,0.0,93.64
ORD-10184,2022-03-02,Customer 46,Home Office,USA,Atlanta,Georgia,South,Office Supplies,Storage,Storage Model 687,215.47,5,0.2,4.6
ORD-10185,2023-02-11,Customer 254,Consumer,USA,Los Angeles,California,West,Furniture,Tables,Tables Model 866,884.6,3,0.0,264.75
ORD-10186,2023-10-19,Customer 279,Home Office,USA,Houston,Texas,Central,Furniture,Tables,Tables Model 605,576.6,2,0.2,12.19
ORD-10187,2023-10-26,Customer 132,Home Office,USA,Seattle,Washington,West,Office Supplies,Binders,Binders Model 290,812.64,6,0.1,148.53
ORD-10188,2023-10-17,Customer 208,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Storage,Storage Model 627,680.91,4,0.1,104.0
ORD-10189,2022-09-12,Customer 4,Corporate,USA,Houston,Texas,Central,Office Supplies,Storage,Storage Model 492,113.48,3,0.3,-2.17
ORD-10190,2023-01-04,Customer 121,Consumer,USA,Seattle,Washington,West,Office Supplies,Paper,Paper Model 783,315.91,10,0.0,36.45
ORD-10191,2023-10-17,Customer 152,Corporate,USA,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Binders Model 729,417.31,9,0.2,51.15
